repo,test_id,framework,locator_event_count,ui_action_count,dominant_locator_strategy,sync_event_count,sync_pattern_counts_json,workflow_event_count,abstraction_kind_counts_json,workflow_archetype,workflow_archetype_basis,workflow_archetype_final,workflow_archetype_final_basis,top_workflow_evidence_json,top_two_workflow_sources,manual_workflow_archetype_ok,manual_workflow_archetype_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
eigenpal/docx-editor,c551af0704b4e749dfd58db1ed33a7b8,Playwright,1,1,page_object_mediated,0,{},2,"{""domain_helper"": 1, ""page_object"": 1}",page_object_centric,dominant_source:page_object_ui,page_object_centric,deterministic,"[{""source"": ""helper_ui"", ""count"": 1}, {""source"": ""page_object_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 1, ""share"": 0.5, ""source"": ""page_object_ui""}, {""count"": 1, ""share"": 0.5, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
eigenpal/docx-editor,7d2f3fafcb88e97649a4603eaa7daf8e,Playwright,1,1,page_object_mediated,0,{},2,"{""domain_helper"": 1, ""page_object"": 1}",page_object_centric,dominant_source:page_object_ui,page_object_centric,deterministic,"[{""source"": ""helper_ui"", ""count"": 1}, {""source"": ""page_object_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 1, ""share"": 0.5, ""source"": ""page_object_ui""}, {""count"": 1, ""share"": 0.5, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
eigenpal/docx-editor,bf7a485cf337136d18cb16dc31363f1c,Playwright,1,1,page_object_mediated,0,{},2,"{""domain_helper"": 1, ""page_object"": 1}",page_object_centric,dominant_source:page_object_ui,page_object_centric,deterministic,"[{""source"": ""helper_ui"", ""count"": 1}, {""source"": ""page_object_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 1, ""share"": 0.5, ""source"": ""page_object_ui""}, {""count"": 1, ""share"": 0.5, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
microsoft/fluentui,5b493f24aba35f12468d44aedd831845,Playwright,0,0,,2,"{""assertion_retry_wait"": 2}",1,"{""playwright_test_step"": 1}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 1}]","[{""count"": 1, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
microsoft/fluentui,e3beefd74e60c32c2d93dd0213ad2aa4,Playwright,0,0,,4,"{""assertion_retry_wait"": 4}",1,"{""playwright_test_step"": 1}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 1}]","[{""count"": 1, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
KittyCAD/modeling-app,91ba608651a9180e7757450ff6813573,Playwright,0,0,,4,"{""assertion_retry_wait"": 4}",3,"{""playwright_test_step"": 3}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 3}]","[{""count"": 3, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
microsoft/fluentui,94095805772df1a122136bf1b1c41a9c,Playwright,0,0,,2,"{""assertion_retry_wait"": 2}",1,"{""playwright_test_step"": 1}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 1}]","[{""count"": 1, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
elizaOS/eliza,3551fc83e906ff9663f33c5259929c59,Playwright,0,0,,0,{},3,"{""playwright_test_step"": 1, ""domain_helper"": 2}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""helper_calls"", ""count"": 2}, {""source"": ""playwright_test_steps"", ""count"": 1}]","[{""count"": 1, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
KittyCAD/modeling-app,7d86067818140b8a424f4acd62e189a5,Playwright,1,4,css_selector,3,"{""assertion_retry_wait"": 2, ""fixed_delay"": 1}",5,"{""playwright_test_step"": 5}",structured_step_centric,dominant_source:structured_step,structured_step_centric,deterministic,"[{""source"": ""playwright_test_steps"", ""count"": 5}, {""source"": ""test_body_ui"", ""count"": 4}]","[{""count"": 5, ""share"": 1.25, ""source"": ""structured_step""}, {""count"": 4, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
redpanda-data/console,374c0cfbd8965687d18cb83def69527d,Playwright,0,0,,0,{},5,"{""playwright_test_step"": 5}",structured_step_centric,no_ui_workflow_evidence,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 5}]","[{""count"": 5, ""share"": 0.0, ""source"": ""structured_step""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
KittyCAD/modeling-app,5b6f7cff4bfa15cb6e50b243c70754a6,Playwright,0,2,,1,"{""fixed_delay"": 1}",3,"{""playwright_test_step"": 3}",structured_step_centric,dominant_source:structured_step,structured_step_centric,deterministic,"[{""source"": ""playwright_test_steps"", ""count"": 3}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 3, ""share"": 1.5, ""source"": ""structured_step""}, {""count"": 2, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
ohcnetwork/care_fe,e8384d038b045b7558afa690bd5a1323,Playwright,1,2,text_content,1,"{""assertion_retry_wait"": 1}",4,"{""playwright_test_step"": 4}",structured_step_centric,dominant_source:hook_ui,structured_step_centric,deterministic_llm_guard,"[{""source"": ""playwright_test_steps"", ""count"": 4}, {""source"": ""hook_ui"", ""count"": 2}]","[{""count"": 4, ""share"": 2.0, ""source"": ""structured_step""}, {""count"": 2, ""share"": 1.0, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
KittyCAD/modeling-app,aa8568a55965b6fd8a7f187662ff1a6b,Playwright,2,6,framework_selector_object,3,"{""assertion_retry_wait"": 3}",8,"{""playwright_test_step"": 8}",structured_step_centric,dominant_source:structured_step,structured_step_centric,deterministic,"[{""source"": ""playwright_test_steps"", ""count"": 8}, {""source"": ""test_body_ui"", ""count"": 6}]","[{""count"": 8, ""share"": 1.333333, ""source"": ""structured_step""}, {""count"": 6, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
valor-software/ngx-bootstrap,4b36b59de4a4685a629f17843e4c46bd,Cypress,1,1,css_selector,0,{},4,"{""unresolved_helper"": 2, ""cypress_custom_command"": 2}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 2}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 2.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
neo4j/neo4j-browser,8fbc4eecb30b03cbf88f3714e217ac41,Cypress,1,1,test_id_or_data_contract,1,"{""assertion_retry_wait"": 1}",5,"{""unresolved_helper"": 2, ""cypress_custom_command"": 3}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 2}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 2.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
plasmicapp/plasmic,86e43399d1759821cee068b2ba5f988a,Cypress,0,1,,4,"{""assertion_retry_wait"": 1, ""fixed_delay"": 3}",126,"{""unresolved_helper"": 37, ""domain_helper"": 5, ""cypress_custom_command"": 84}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 37}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 37, ""share"": 37.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
opensearch-project/OpenSearch-Dashboards,c251a8c678f5746e3f12cda8f0fa1bb0,Cypress,6,6,custom_locator_helper,3,"{""assertion_retry_wait"": 2, ""fixed_delay"": 1}",28,"{""unresolved_helper"": 5, ""cypress_custom_command"": 14, ""domain_helper"": 9}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""helper_calls"", ""count"": 5}, {""source"": ""unresolved_helper_calls"", ""count"": 5}, {""source"": ""hook_ui"", ""count"": 4}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 5, ""share"": 0.833333, ""source"": ""unresolved_helper_calls""}, {""count"": 4, ""share"": 0.666667, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
opensearch-project/OpenSearch-Dashboards,a1f8567a2596600b5ea7ae82e9190a49,Cypress,2,2,test_id_or_data_contract,2,"{""assertion_retry_wait"": 1, ""fixed_delay"": 1}",4,"{""unresolved_helper"": 2, ""cypress_custom_command"": 2}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 2}, {""source"": ""test_body_ui"", ""count"": 1}, {""source"": ""hook_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 1.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 0.5, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
opensearch-project/OpenSearch-Dashboards,89b4aad231258d6f15a5012db78df265,Cypress,6,6,custom_locator_helper,5,"{""assertion_retry_wait"": 4, ""fixed_delay"": 1}",28,"{""unresolved_helper"": 6, ""cypress_custom_command"": 15, ""domain_helper"": 7}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 6}, {""source"": ""hook_ui"", ""count"": 4}, {""source"": ""helper_calls"", ""count"": 3}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 6, ""share"": 1.0, ""source"": ""unresolved_helper_calls""}, {""count"": 4, ""share"": 0.666667, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
plasmicapp/plasmic,0d9aa0cc5a7596b6897b47411b8f63b5,Cypress,1,1,text_content,3,"{""fixed_delay"": 1, ""assertion_retry_wait"": 2}",9,"{""unresolved_helper"": 4, ""domain_helper"": 1, ""cypress_custom_command"": 4}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 4}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 4, ""share"": 4.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
neo4j/neo4j-browser,2196e0f50e76c83fd73fa3b38088a632,Cypress,0,1,,2,"{""assertion_retry_wait"": 1, ""fixed_delay"": 1}",6,"{""unresolved_helper"": 2, ""cypress_custom_command"": 3, ""domain_helper"": 1}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 2}, {""source"": ""hook_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 2, ""share"": 2.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
neo4j/neo4j-browser,31ed3457ad69e4cd6e178309c83c7803,Cypress,0,1,,2,"{""assertion_retry_wait"": 1, ""fixed_delay"": 1}",12,"{""unresolved_helper"": 2, ""cypress_custom_command"": 10}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 2}, {""source"": ""hook_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 2.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
plasmicapp/plasmic,36ebd218b5e5645bc7710764615876df,Cypress,1,1,css_selector,1,"{""assertion_retry_wait"": 1}",7,"{""unresolved_helper"": 3, ""cypress_custom_command"": 3, ""domain_helper"": 1}",unresolved_thin_wrapper,unresolved_dominates_expanded_evidence,unresolved_thin_wrapper,llm_semantic_correction,"[{""source"": ""unresolved_helper_calls"", ""count"": 3}, {""source"": ""test_body_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 3, ""share"": 3.0, ""source"": ""unresolved_helper_calls""}, {""count"": 1, ""share"": 1.0, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
